SCREEN_ID	SOURCE_ID	SOURCE_TYPE	AUTHOR	SCREEN_NAME	SCORES_SIZE	FULL_SIZE	FULL_SIZE_AVAILABLE	NUMBER_OF_HITS	ANALYSIS	SIGNIFICANCE_INDICATOR	SIGNIFICANCE_CRITERIA	THROUGHPUT	SCREEN_TYPE	SCREEN_FORMAT	EXPERIMENTAL_SETUP	DURATION	CONDITION_NAME	CONDITION_DOSAGE	MOI	LIBRARY	LIBRARY_TYPE	LIBRARY_METHODOLOGY	ENZYME	CELL_LINE	CELL_TYPE	PHENOTYPE	SCORE_COL_COUNT	SCORE.1_TYPE	SCORE.2_TYPE	SCORE.3_TYPE	SCORE.4_TYPE	SCORE.5_TYPE	ORGANISM_ID	ORGANISM_OFFICIAL	NOTES	SOURCE	SCREEN_RATIONALE
600	26780180	pubmed	Doench JG (2016)	6-PMID26780180	2421	18675	No	758	STARS	Score Significance	Score.2 (FDR) < 0.1	High Throughput	Negative Selection	Pool	Timecourse	3 Weeks	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	A-375	Melanoma Cell Line	cell proliferation	2	STARS Score	FDR	-	-	-	9606	H. sapiens	Negative selection screen with the Avana library screened in lentiCRISPRv2 (A-375 cells; STARS analysis at FDR < 10%).	BioGRID ORCS	Cell-essential genes
601	26780180	pubmed	Doench JG (2016)	7-PMID26780180	2347	18675	No	1073	STARS	Score Significance	Score.2 (FDR) < 0.1	High Throughput	Negative Selection	Pool	Timecourse	3 Weeks	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	A-375	Melanoma Cell Line	cell proliferation	2	STARS Score	FDR	-	-	-	9606	H. sapiens	Negative selection screen with the Avana library screened in the lentiGuide vector (A-375 cells; STARS analysis at FDR < 10%).	BioGRID ORCS	Cell-essential genes
602	26780180	pubmed	Doench JG (2016)	8-PMID26780180	2019	18675	No	981	STARS	Score Significance	Score.2 (FDR) < 0.1	High Throughput	Negative Selection	Pool	Timecourse	3 Weeks	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	HT-29	Colonic Adenocarcinoma Cell Line	cell proliferation	2	STARS Score	FDR	-	-	-	9606	H. sapiens	Negative selection screen with the Avana library screened in the lentiGuide vector (HT-29 cells; STARS analysis at FDR < 10%).	BioGRID ORCS	Cell-essential genes
604	26780180	pubmed	Doench JG (2016)	10-PMID26780180	2690	17627	No	476	STARS	Score Significance	Score.2 (FDR) < 0.1	High Throughput	Negative Selection	Pool	Timecourse	3 Weeks	-	-	< 1	GECKO v2	CRISPRn	Knockout	Cas9	HT-29	Colonic Adenocarcinoma Cell Line	cell proliferation	2	STARS Score	FDR	-	-	-	9606	H. sapiens	Negative selection screen with the GECKOv2 library screened in the lentiGuide vector (HT-29 cells; STARS analysis at FDR < 10%).	BioGRID ORCS	Cell-essential genes
613	29576454	pubmed	Sack LM (2018)	1-PMID29576454	18162	18162	Yes	143	MaGeCK	Score Significance	Score.1 (p-Value) < 0.3	High Throughput	Positive Selection	Pool	Timecourse	11 Doublings	-	-	= 0.2	Human Activity-optimized genome-wide library	CRISPRn	Knockout	Cas9	HMEC	Mammary Epithelial Cell Line	cell proliferation	1	p-Value	-	-	-	-	9606	H. sapiens	CRISPR STOP genes (suppressors of tumorigenesis or proliferation)  have a Mageck adjusted p < 0.3 for enrichment.	BioGRID ORCS	Suppressors of tumorigenesis or proliferation
614	29576454	pubmed	Sack LM (2018)	2-PMID29576454	18162	18162	Yes	823	MaGeCK	Score Significance	Score.1 (p-Value) < 0.3	High Throughput	Negative Selection	Pool	Timecourse	11 Doublings	-	-	= 0.2	Human Activity-optimized genome-wide library	CRISPRn	Knockout	Cas9	HMEC	Mammary Epithelial Cell Line	cell proliferation	1	p-Value	-	-	-	-	9606	H. sapiens	CRISPR GO genes (growth-promoting genes and oncogenes) have a Mageck adjusted p < 0.3 for depletion.	BioGRID ORCS	Growth-promoting genes and oncogenes
629	28700943	pubmed	Martin TD (2017)	1-PMID28700943	18150	18150	Yes	234	EdgeR	Score Significance	Score.1 (Log2) < -2.0 AND Score.2 (q-Value) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	10 Doublings	-	-	= 0.2	CRISPRn (Martin, 2017)	CRISPRn	Knockout	Cas9	DLD-1	Colonic Adenocarcinoma Cell Line	cell proliferation	2	Log2	q-Value	-	-	-	9606	H. sapiens	-	BioGRID ORCS	Cell-essential genes
689	30898113	pubmed	Bakke J (2019)	1-PMID30898113	19114	19114	Yes	1073	MaGeCK	Score Significance	Score.2 (p-Value) < 0.05	High Throughput	Negative Selection	Pool	Drug Exposure	6 Days	Gemcitabine	100.0 nM	= 0.3	Brunello (human)	CRISPRn	Knockout	Cas9	PANC-1	Pancreatic Cancer Cell Line	response to chemicals	3	MaGeCK Score	p-Value	FDR	-	-	9606	H. sapiens	Phenotypic readout: cell proliferation	BioGRID ORCS	Increased drug sensitivity
691	30971826	pubmed	Behan FM (2019)	1-PMID30971826	17995	17995	Yes	922	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	22RV1	Prostate Cancer Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
692	30971826	pubmed	Behan FM (2019)	2-PMID30971826	17995	17995	Yes	1476	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	23132-87	Gastric Adenocarcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
693	30971826	pubmed	Behan FM (2019)	3-PMID30971826	17995	17995	Yes	1169	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	42-MG-BA	Glioblastoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
694	30971826	pubmed	Behan FM (2019)	4-PMID30971826	17995	17995	Yes	1613	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	769P	Cancer Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
695	30971826	pubmed	Behan FM (2019)	5-PMID30971826	17995	17995	Yes	1945	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	8-MG-BA	Glioblastoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
696	30971826	pubmed	Behan FM (2019)	6-PMID30971826	17995	17995	Yes	1336	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	A172	Cancer Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
697	30971826	pubmed	Behan FM (2019)	7-PMID30971826	17995	17995	Yes	1837	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	A2058	Melanoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
698	30971826	pubmed	Behan FM (2019)	8-PMID30971826	17995	17995	Yes	1237	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	A253	Salivary Gland Cancer Cell	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
699	30971826	pubmed	Behan FM (2019)	9-PMID30971826	17995	17995	Yes	1572	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	A2780	Ovarian Cancer Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
700	30971826	pubmed	Behan FM (2019)	10-PMID30971826	17995	17995	Yes	1908	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	A2780ADR	Ovary Adenocarcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
701	30971826	pubmed	Behan FM (2019)	11-PMID30971826	17995	17995	Yes	1358	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	A2780cis	Ovary Adenocarcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
702	30971826	pubmed	Behan FM (2019)	12-PMID30971826	17995	17995	Yes	1368	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	A-375	Melanoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
703	30971826	pubmed	Behan FM (2019)	13-PMID30971826	17995	17995	Yes	1179	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	A549	Lung Cancer Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
704	30971826	pubmed	Behan FM (2019)	14-PMID30971826	17995	17995	Yes	1788	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	AGS	Gastric Adenocarcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
705	30971826	pubmed	Behan FM (2019)	15-PMID30971826	17995	17995	Yes	1551	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	AM-38	Glioblastoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
706	30971826	pubmed	Behan FM (2019)	16-PMID30971826	17995	17995	Yes	1631	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	ARH-77	B-lymphoblastoid cell line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
707	30971826	pubmed	Behan FM (2019)	17-PMID30971826	17995	17995	Yes	1248	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	AsPC1	Pancreatic Adenocarcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
708	30971826	pubmed	Behan FM (2019)	18-PMID30971826	17995	17995	Yes	1164	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	AU-565	Breast Cancer Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
709	30971826	pubmed	Behan FM (2019)	19-PMID30971826	17995	17995	Yes	1481	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	BB30-HNC	Head and Neck Squamous Cell Carcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
710	30971826	pubmed	Behan FM (2019)	20-PMID30971826	17995	17995	Yes	1551	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	BE2-M17	Neuroblastoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
711	30971826	pubmed	Behan FM (2019)	21-PMID30971826	17995	17995	Yes	1614	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	Becker	Astrocytoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
712	30971826	pubmed	Behan FM (2019)	22-PMID30971826	17995	17995	Yes	1474	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	BHY	Oral Squamous Cell Carcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
713	30971826	pubmed	Behan FM (2019)	23-PMID30971826	17995	17995	Yes	1654	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	BICR10	Oral Squamous Cell Carcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
714	30971826	pubmed	Behan FM (2019)	24-PMID30971826	17995	17995	Yes	1204	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	BICR 22	Cancer Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
715	30971826	pubmed	Behan FM (2019)	25-PMID30971826	17995	17995	Yes	986	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	BICR78	Oral Squamous Cell Carcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
716	30971826	pubmed	Behan FM (2019)	26-PMID30971826	17995	17995	Yes	1112	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	BxPC-3	Pancreatic Adenocarcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
717	30971826	pubmed	Behan FM (2019)	27-PMID30971826	17995	17995	Yes	1323	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	C2BBe1	Colorectal Cancer Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
718	30971826	pubmed	Behan FM (2019)	28-PMID30971826	17995	17995	Yes	1778	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	Ca9-22	Gingival Cancer Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
719	30971826	pubmed	Behan FM (2019)	29-PMID30971826	17995	17995	Yes	1875	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	CAL-27	Tongue Cancer Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
720	30971826	pubmed	Behan FM (2019)	30-PMID30971826	17995	17995	Yes	1350	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	CAL-33	Tongue Cancer Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
721	30971826	pubmed	Behan FM (2019)	31-PMID30971826	17995	17995	Yes	1697	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	CAL-51	Breast Adenocarcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
722	30971826	pubmed	Behan FM (2019)	32-PMID30971826	17995	17995	Yes	877	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	CAL-72	Osteosarcoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
723	30971826	pubmed	Behan FM (2019)	33-PMID30971826	17995	17995	Yes	1213	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	Caov-4	Ovary Adenocarcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
724	30971826	pubmed	Behan FM (2019)	34-PMID30971826	17995	17995	Yes	1564	BAGEL	Score Significance	Score.1 (Bayes Factor) > 0.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.3	Human CRISPR Library v.1.1	CRISPRn	Knockout	Cas9	CAPAN-1	Pancreatic Ductal Adenocarcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Scaled Bayesian Factor (BF) greater than 0 were identified as fitness genes (hits) for this cell line in this CRISPR screen. The modified BAGEL analysis computed gene-level BFs by the sgRNAs by averaging them instead of summing them. A 5% FDR threshold was used.	BioGRID ORCS	Cell-essential genes
